,idMonitoringOrdersAlarm,createdOn_x,idWorkOrder,latitude,longitude,IdCondition,Status,EventName,Unnamed: 0,idCompany,idStatus,createdOn_y,updatedOn,idDriver,idVehicle,idTypeTrip,idTypeOperation,transporter,currentLocation,totalArrivalTime,totalDistance,arrivalDistance,arrivalTime,updateTravelOn,tripNumber,businessName,typeCompanie,idCity,idCompanyParent,city_name,city_lon,city_lat,codeCity_mod,status_name,type_trip_name,operation_type_description,transporter_name,month
30500,61387985,2020-08-26 06:51:48,288286,4.942728,-74.01607,0,0,Excesos de velocidad,23305,43826,22.0,2020-08-25 10:22:50.673,2020-08-28 07:37:11.397,68143.0,110367.0,2.0,1481,50386.0,"250010 Cota, Colombia",33574.0,199915.0,197985.0,545.0,2020-08-28 07:33:51.0,613508823,OPPERAR COLOMBIA S.A.S.,ET,1641,1.0,MOSQUERA,-74.22826847270001,4.71430462524,25473,Finalizado,Urbano,URBANO_SEC,IMBOCAR S.A.S,8
30501,61469206,2020-08-26 15:55:08,288286,4.949722,-74.01465,0,0,Excesos de velocidad,23305,43826,22.0,2020-08-25 10:22:50.673,2020-08-28 07:37:11.397,68143.0,110367.0,2.0,1481,50386.0,"250010 Cota, Colombia",33574.0,199915.0,197985.0,545.0,2020-08-28 07:33:51.0,613508823,OPPERAR COLOMBIA S.A.S.,ET,1641,1.0,MOSQUERA,-74.22826847270001,4.71430462524,25473,Finalizado,Urbano,URBANO_SEC,IMBOCAR S.A.S,8
30502,61387070,2020-08-26 06:46:13,288286,4.995682,-73.99918000000001,0,0,Excesos de velocidad,23305,43826,22.0,2020-08-25 10:22:50.673,2020-08-28 07:37:11.397,68143.0,110367.0,2.0,1481,50386.0,"250010 Cota, Colombia",33574.0,199915.0,197985.0,545.0,2020-08-28 07:33:51.0,613508823,OPPERAR COLOMBIA S.A.S.,ET,1641,1.0,MOSQUERA,-74.22826847270001,4.71430462524,25473,Finalizado,Urbano,URBANO_SEC,IMBOCAR S.A.S,8
31726,61387068,2020-08-26 06:46:13,288274,4.995682,-73.99918000000001,0,0,Excesos de velocidad,23299,43826,22.0,2020-08-25 10:18:28.330,2020-08-28 07:36:30.14,68143.0,110367.0,2.0,1481,50386.0,"250010 Cota, Colombia",8567.0,61915.0,30383.0,76.0,2020-08-28 07:28:56.0,613511078,OPPERAR COLOMBIA S.A.S.,ET,1641,1.0,MOSQUERA,-74.22826847270001,4.71430462524,25473,Finalizado,Urbano,URBANO_SEC,IMBOCAR S.A.S,8
31727,61469207,2020-08-26 15:55:08,288274,4.949722,-74.01465,0,0,Excesos de velocidad,23299,43826,22.0,2020-08-25 10:18:28.330,2020-08-28 07:36:30.14,68143.0,110367.0,2.0,1481,50386.0,"250010 Cota, Colombia",8567.0,61915.0,30383.0,76.0,2020-08-28 07:28:56.0,613511078,OPPERAR COLOMBIA S.A.S.,ET,1641,1.0,MOSQUERA,-74.22826847270001,4.71430462524,25473,Finalizado,Urbano,URBANO_SEC,IMBOCAR S.A.S,8
31728,61387984,2020-08-26 06:51:47,288274,4.942728,-74.01607,0,0,Excesos de velocidad,23299,43826,22.0,2020-08-25 10:18:28.330,2020-08-28 07:36:30.14,68143.0,110367.0,2.0,1481,50386.0,"250010 Cota, Colombia",8567.0,61915.0,30383.0,76.0,2020-08-28 07:28:56.0,613511078,OPPERAR COLOMBIA S.A.S.,ET,1641,1.0,MOSQUERA,-74.22826847270001,4.71430462524,25473,Finalizado,Urbano,URBANO_SEC,IMBOCAR S.A.S,8
35140,61367421,2020-08-26 03:59:56,288186,6.179404,-75.59203000000001,0,0,Excesos de velocidad,23288,43826,22.0,2020-08-25 08:48:05.567,2020-08-28 07:30:33.363,64482.0,104861.0,2.0,1481,50386.0,"Carrera 53 129 S-18, 055440 Caldas, Colombia",3830.0,26243.0,26243.0,63.0,2020-08-28 07:25:39.0,613509991,OPPERAR COLOMBIA S.A.S.,ET,1641,1.0,MOSQUERA,-74.22826847270001,4.71430462524,25473,Finalizado,Urbano,URBANO_SEC,IMBOCAR S.A.S,8
35141,61597734,2020-08-27 09:08:51,288186,6.258496,-75.57417,0,0,Excesos de velocidad,23288,43826,22.0,2020-08-25 08:48:05.567,2020-08-28 07:30:33.363,64482.0,104861.0,2.0,1481,50386.0,"Carrera 53 129 S-18, 055440 Caldas, Colombia",3830.0,26243.0,26243.0,63.0,2020-08-28 07:25:39.0,613509991,OPPERAR COLOMBIA S.A.S.,ET,1641,1.0,MOSQUERA,-74.22826847270001,4.71430462524,25473,Finalizado,Urbano,URBANO_SEC,IMBOCAR S.A.S,8
36263,61659398,2020-08-27 16:02:38,288178,4.432426,-75.22201,0,0,Excesos de velocidad,23287,43826,22.0,2020-08-28 11:10:14.257,2020-08-29 19:37:00.49,66274.0,107107.0,2.0,1481,50386.0,"Carrera 12 Sur 93-388, 730005 Ibagué, Colombia",13935.0,87710.0,77530.0,205.0,2020-08-29 19:20:41.0,613509496,OPPERAR COLOMBIA S.A.S.,ET,1641,1.0,MOSQUERA,-74.22826847270001,4.71430462524,25473,Finalizado,Urbano,URBANO_SEC,IMBOCAR S.A.S,8
36264,61958674,2020-08-29 13:43:27,288178,4.424795,-75.18259,0,0,Excesos de velocidad,23287,43826,22.0,2020-08-28 11:10:14.257,2020-08-29 19:37:00.49,66274.0,107107.0,2.0,1481,50386.0,"Carrera 12 Sur 93-388, 730005 Ibagué, Colombia",13935.0,87710.0,77530.0,205.0,2020-08-29 19:20:41.0,613509496,OPPERAR COLOMBIA S.A.S.,ET,1641,1.0,MOSQUERA,-74.22826847270001,4.71430462524,25473,Finalizado,Urbano,URBANO_SEC,IMBOCAR S.A.S,8
37689,61474450,2020-08-26 16:40:34,288172,2.5428319999999998,-75.50184,0,0,Excesos de velocidad,23285,43826,22.0,2020-08-27 11:50:15.413,2020-08-28 07:28:32.19,67596.0,107145.0,2.0,1481,50386.0,"Carrera 7 3-99, 416048 Guadalupe, Colombia",22272.0,214343.0,214343.0,371.0,2020-08-28 07:25:07.0,613505690,OPPERAR COLOMBIA S.A.S.,ET,1641,1.0,MOSQUERA,-74.22826847270001,4.71430462524,25473,Finalizado,Urbano,URBANO_SEC,IMBOCAR S.A.S,8
37690,61484355,2020-08-26 18:11:40,288172,2.137494,-75.71059,0,0,Excesos de velocidad,23285,43826,22.0,2020-08-27 11:50:15.413,2020-08-28 07:28:32.19,67596.0,107145.0,2.0,1481,50386.0,"Carrera 7 3-99, 416048 Guadalupe, Colombia",22272.0,214343.0,214343.0,371.0,2020-08-28 07:25:07.0,613505690,OPPERAR COLOMBIA S.A.S.,ET,1641,1.0,MOSQUERA,-74.22826847270001,4.71430462524,25473,Finalizado,Urbano,URBANO_SEC,IMBOCAR S.A.S,8
37691,61472768,2020-08-26 16:25:20,288172,2.669305,-75.3345,0,0,Excesos de velocidad,23285,43826,22.0,2020-08-27 11:50:15.413,2020-08-28 07:28:32.19,67596.0,107145.0,2.0,1481,50386.0,"Carrera 7 3-99, 416048 Guadalupe, Colombia",22272.0,214343.0,214343.0,371.0,2020-08-28 07:25:07.0,613505690,OPPERAR COLOMBIA S.A.S.,ET,1641,1.0,MOSQUERA,-74.22826847270001,4.71430462524,25473,Finalizado,Urbano,URBANO_SEC,IMBOCAR S.A.S,8
37692,61484177,2020-08-26 18:11:27,288172,2.123135,-75.73175,0,0,Excesos de velocidad,23285,43826,22.0,2020-08-27 11:50:15.413,2020-08-28 07:28:32.19,67596.0,107145.0,2.0,1481,50386.0,"Carrera 7 3-99, 416048 Guadalupe, Colombia",22272.0,214343.0,214343.0,371.0,2020-08-28 07:25:07.0,613505690,OPPERAR COLOMBIA S.A.S.,ET,1641,1.0,MOSQUERA,-74.22826847270001,4.71430462524,25473,Finalizado,Urbano,URBANO_SEC,IMBOCAR S.A.S,8
37693,61488874,2020-08-26 18:48:11,288172,1.964753,-75.79904,0,0,Excesos de velocidad,23285,43826,22.0,2020-08-27 11:50:15.413,2020-08-28 07:28:32.19,67596.0,107145.0,2.0,1481,50386.0,"Carrera 7 3-99, 416048 Guadalupe, Colombia",22272.0,214343.0,214343.0,371.0,2020-08-28 07:25:07.0,613505690,OPPERAR COLOMBIA S.A.S.,ET,1641,1.0,MOSQUERA,-74.22826847270001,4.71430462524,25473,Finalizado,Urbano,URBANO_SEC,IMBOCAR S.A.S,8
42391,61157920,2020-08-24 14:52:10,286400,6.349416000000001,-75.51653,0,0,Excesos de velocidad,23280,43826,22.0,2020-08-27 10:45:15.847,2020-08-28 07:26:13.013,67001.0,109265.0,2.0,1481,50386.0,"Calle 124 51D-41, 050001 Medellín, Colombia",4932.0,44210.0,22994.0,42.0,2020-08-28 07:23:42.0,613510516,OPPERAR COLOMBIA S.A.S.,ET,1641,1.0,MOSQUERA,-74.22826847270001,4.71430462524,25473,Finalizado,Urbano,URBANO_SEC,IMBOCAR S.A.S,8
45474,61154084,2020-08-24 14:21:15,285230,4.845516,-74.03128000000001,0,0,Excesos de velocidad,23252,43826,22.0,2020-08-24 11:50:19.180,2020-08-28 07:24:18.937,64083.0,110479.0,2.0,1481,50386.0,"Carrera 123 13D-90, 110921 Bogotá, D.C., Colombia",39827.0,237125.0,219620.0,611.0,2020-08-28 07:03:37.0,613506865,OPPERAR COLOMBIA S.A.S.,ET,1641,1.0,MOSQUERA,-74.22826847270001,4.71430462524,25473,Finalizado,Urbano,URBANO_SEC,IMBOCAR S.A.S,8
45475,61554344,2020-08-27 05:26:16,285230,4.852371,-74.02959,0,0,Excesos de velocidad,23252,43826,22.0,2020-08-24 11:50:19.180,2020-08-28 07:24:18.937,64083.0,110479.0,2.0,1481,50386.0,"Carrera 123 13D-90, 110921 Bogotá, D.C., Colombia",39827.0,237125.0,219620.0,611.0,2020-08-28 07:03:37.0,613506865,OPPERAR COLOMBIA S.A.S.,ET,1641,1.0,MOSQUERA,-74.22826847270001,4.71430462524,25473,Finalizado,Urbano,URBANO_SEC,IMBOCAR S.A.S,8
45476,61556441,2020-08-27 05:37:07,285230,4.910237,-74.00114,0,0,Excesos de velocidad,23252,43826,22.0,2020-08-24 11:50:19.180,2020-08-28 07:24:18.937,64083.0,110479.0,2.0,1481,50386.0,"Carrera 123 13D-90, 110921 Bogotá, D.C., Colombia",39827.0,237125.0,219620.0,611.0,2020-08-28 07:03:37.0,613506865,OPPERAR COLOMBIA S.A.S.,ET,1641,1.0,MOSQUERA,-74.22826847270001,4.71430462524,25473,Finalizado,Urbano,URBANO_SEC,IMBOCAR S.A.S,8
45477,61555592,2020-08-27 05:32:05,285230,4.906835,-74.00233,0,0,Excesos de velocidad,23252,43826,22.0,2020-08-24 11:50:19.180,2020-08-28 07:24:18.937,64083.0,110479.0,2.0,1481,50386.0,"Carrera 123 13D-90, 110921 Bogotá, D.C., Colombia",39827.0,237125.0,219620.0,611.0,2020-08-28 07:03:37.0,613506865,OPPERAR COLOMBIA S.A.S.,ET,1641,1.0,MOSQUERA,-74.22826847270001,4.71430462524,25473,Finalizado,Urbano,URBANO_SEC,IMBOCAR S.A.S,8
47042,61614526,2020-08-27 10:37:47,285206,4.455208,-74.2962,0,0,Excesos de velocidad,22293,43826,22.0,2020-08-22 07:40:20.953,2020-08-28 07:22:46.3,64083.0,110111.0,3.0,1485,50386.0,"40, 252211 Fusagasugá, Colombia",20519.0,167511.0,167511.0,340.0,2020-08-28 07:21:21.0,613505363,OPPERAR COLOMBIA S.A.S.,ET,1641,1.0,MOSQUERA,-74.22826847270001,4.71430462524,25473,Finalizado,Regional,VIAJERA_SE,IMBOCAR S.A.S,8
47043,60746035,2020-08-22 09:30:29,285206,4.459884,-74.29286,0,0,Excesos de velocidad,22293,43826,22.0,2020-08-22 07:40:20.953,2020-08-28 07:22:46.3,64083.0,110111.0,3.0,1485,50386.0,"40, 252211 Fusagasugá, Colombia",20519.0,167511.0,167511.0,340.0,2020-08-28 07:21:21.0,613505363,OPPERAR COLOMBIA S.A.S.,ET,1641,1.0,MOSQUERA,-74.22826847270001,4.71430462524,25473,Finalizado,Regional,VIAJERA_SE,IMBOCAR S.A.S,8
47044,61100819,2020-08-24 08:08:19,285206,4.390308999999999,-74.39145,0,0,Excesos de velocidad,22293,43826,22.0,2020-08-22 07:40:20.953,2020-08-28 07:22:46.3,64083.0,110111.0,3.0,1485,50386.0,"40, 252211 Fusagasugá, Colombia",20519.0,167511.0,167511.0,340.0,2020-08-28 07:21:21.0,613505363,OPPERAR COLOMBIA S.A.S.,ET,1641,1.0,MOSQUERA,-74.22826847270001,4.71430462524,25473,Finalizado,Regional,VIAJERA_SE,IMBOCAR S.A.S,8
47045,61618974,2020-08-27 11:02:44,285206,4.523749,-74.24228000000001,0,0,Excesos de velocidad,22293,43826,22.0,2020-08-22 07:40:20.953,2020-08-28 07:22:46.3,64083.0,110111.0,3.0,1485,50386.0,"40, 252211 Fusagasugá, Colombia",20519.0,167511.0,167511.0,340.0,2020-08-28 07:21:21.0,613505363,OPPERAR COLOMBIA S.A.S.,ET,1641,1.0,MOSQUERA,-74.22826847270001,4.71430462524,25473,Finalizado,Regional,VIAJERA_SE,IMBOCAR S.A.S,8
47046,61384148,2020-08-26 06:24:43,285206,4.61994,-74.28399999999999,0,0,Excesos de velocidad,22293,43826,22.0,2020-08-22 07:40:20.953,2020-08-28 07:22:46.3,64083.0,110111.0,3.0,1485,50386.0,"40, 252211 Fusagasugá, Colombia",20519.0,167511.0,167511.0,340.0,2020-08-28 07:21:21.0,613505363,OPPERAR COLOMBIA S.A.S.,ET,1641,1.0,MOSQUERA,-74.22826847270001,4.71430462524,25473,Finalizado,Regional,VIAJERA_SE,IMBOCAR S.A.S,8
47941,61279810,2020-08-25 12:42:13,285183,4.541348999999999,-74.25285,0,0,Excesos de velocidad,23240,43826,22.0,2020-08-22 07:25:28.953,2020-08-28 07:23:55.183,64083.0,110471.0,2.0,1481,50386.0,"Carrera 10 7-128, 250030 Madrid, Colombia",21303.0,163597.0,163597.0,353.0,2020-08-28 07:23:46.0,613505434,OPPERAR COLOMBIA S.A.S.,ET,1641,1.0,MOSQUERA,-74.22826847270001,4.71430462524,25473,Finalizado,Urbano,URBANO_SEC,IMBOCAR S.A.S,8
47942,61236901,2020-08-25 07:42:28,285183,4.435435,-74.38515,0,0,Excesos de velocidad,23240,43826,22.0,2020-08-22 07:25:28.953,2020-08-28 07:23:55.183,64083.0,110471.0,2.0,1481,50386.0,"Carrera 10 7-128, 250030 Madrid, Colombia",21303.0,163597.0,163597.0,353.0,2020-08-28 07:23:46.0,613505434,OPPERAR COLOMBIA S.A.S.,ET,1641,1.0,MOSQUERA,-74.22826847270001,4.71430462524,25473,Finalizado,Urbano,URBANO_SEC,IMBOCAR S.A.S,8
47943,61278786,2020-08-25 12:34:29,285183,4.5410580000000005,-74.28545,0,0,Excesos de velocidad,23240,43826,22.0,2020-08-22 07:25:28.953,2020-08-28 07:23:55.183,64083.0,110471.0,2.0,1481,50386.0,"Carrera 10 7-128, 250030 Madrid, Colombia",21303.0,163597.0,163597.0,353.0,2020-08-28 07:23:46.0,613505434,OPPERAR COLOMBIA S.A.S.,ET,1641,1.0,MOSQUERA,-74.22826847270001,4.71430462524,25473,Finalizado,Urbano,URBANO_SEC,IMBOCAR S.A.S,8
50177,61618975,2020-08-27 11:02:44,284910,4.523749,-74.24228000000001,0,0,Excesos de velocidad,22288,43826,22.0,2020-08-27 07:50:41.460,2020-08-28 07:14:21.053,64083.0,110111.0,3.0,1485,50386.0,"Avenida Calle 17 124, 110921 Bogotá, D.C., Colombia",38973.0,251924.0,39624.0,91.0,2020-08-28 07:05:14.0,613507214,OPPERAR COLOMBIA S.A.S.,ET,1641,1.0,MOSQUERA,-74.22826847270001,4.71430462524,25473,Finalizado,Regional,VIAJERA_SE,IMBOCAR S.A.S,8
50988,60075135,2020-08-19 09:39:07,283784,4.64724,-74.43252,0,0,Excesos de velocidad,22286,43826,22.0,2020-08-27 07:35:24.627,2020-08-28 07:14:02.383,67871.0,105172.0,3.0,1485,50386.0,"Calle 6A 10A-2, 250030 Madrid, Colombia",66237.0,445223.0,445223.0,1092.0,2020-08-28 07:11:18.0,613507217,OPPERAR COLOMBIA S.A.S.,ET,1641,1.0,MOSQUERA,-74.22826847270001,4.71430462524,25473,Finalizado,Regional,VIAJERA_SE,IMBOCAR S.A.S,8
50989,60078631,2020-08-19 10:57:54,283784,4.664064,-74.28101,0,0,Excesos de velocidad,22286,43826,22.0,2020-08-27 07:35:24.627,2020-08-28 07:14:02.383,67871.0,105172.0,3.0,1485,50386.0,"Calle 6A 10A-2, 250030 Madrid, Colombia",66237.0,445223.0,445223.0,1092.0,2020-08-28 07:11:18.0,613507217,OPPERAR COLOMBIA S.A.S.,ET,1641,1.0,MOSQUERA,-74.22826847270001,4.71430462524,25473,Finalizado,Regional,VIAJERA_SE,IMBOCAR S.A.S,8
54652,62471278,2020-09-02 06:00:26,281851,5.010461,-73.85778,0,0,Excesos de velocidad,23173,43826,22.0,2020-08-14 17:54:21.853,2020-09-07 11:01:54.907,67960.0,105199.0,2.0,1481,50386.0,"Calle 11 10-21, 250251 Zipaquirá, Colombia",120742.0,1097645.0,1097645.0,1997.0,2020-09-07 10:48:33.0,613505150,OPPERAR COLOMBIA S.A.S.,ET,1641,1.0,MOSQUERA,-74.22826847270001,4.71430462524,25473,Finalizado,Urbano,URBANO_SEC,IMBOCAR S.A.S,8
54653,62469761,2020-09-02 05:50:46,281851,4.9722599999999995,-73.89517,0,0,Excesos de velocidad,23173,43826,22.0,2020-08-14 17:54:21.853,2020-09-07 11:01:54.907,67960.0,105199.0,2.0,1481,50386.0,"Calle 11 10-21, 250251 Zipaquirá, Colombia",120742.0,1097645.0,1097645.0,1997.0,2020-09-07 10:48:33.0,613505150,OPPERAR COLOMBIA S.A.S.,ET,1641,1.0,MOSQUERA,-74.22826847270001,4.71430462524,25473,Finalizado,Urbano,URBANO_SEC,IMBOCAR S.A.S,8
54654,60853910,2020-08-22 19:19:54,281851,4.985005999999999,-74.00362,0,0,Excesos de velocidad,23173,43826,22.0,2020-08-14 17:54:21.853,2020-09-07 11:01:54.907,67960.0,105199.0,2.0,1481,50386.0,"Calle 11 10-21, 250251 Zipaquirá, Colombia",120742.0,1097645.0,1097645.0,1997.0,2020-09-07 10:48:33.0,613505150,OPPERAR COLOMBIA S.A.S.,ET,1641,1.0,MOSQUERA,-74.22826847270001,4.71430462524,25473,Finalizado,Urbano,URBANO_SEC,IMBOCAR S.A.S,8
54655,62488837,2020-09-02 07:51:55,281851,5.097879,-73.68056999999999,0,0,Excesos de velocidad,23173,43826,22.0,2020-08-14 17:54:21.853,2020-09-07 11:01:54.907,67960.0,105199.0,2.0,1481,50386.0,"Calle 11 10-21, 250251 Zipaquirá, Colombia",120742.0,1097645.0,1097645.0,1997.0,2020-09-07 10:48:33.0,613505150,OPPERAR COLOMBIA S.A.S.,ET,1641,1.0,MOSQUERA,-74.22826847270001,4.71430462524,25473,Finalizado,Urbano,URBANO_SEC,IMBOCAR S.A.S,8
54656,60733791,2020-08-22 08:23:46,281851,4.936356,-74.01418000000001,0,0,Excesos de velocidad,23173,43826,22.0,2020-08-14 17:54:21.853,2020-09-07 11:01:54.907,67960.0,105199.0,2.0,1481,50386.0,"Calle 11 10-21, 250251 Zipaquirá, Colombia",120742.0,1097645.0,1097645.0,1997.0,2020-09-07 10:48:33.0,613505150,OPPERAR COLOMBIA S.A.S.,ET,1641,1.0,MOSQUERA,-74.22826847270001,4.71430462524,25473,Finalizado,Urbano,URBANO_SEC,IMBOCAR S.A.S,8
54657,60846946,2020-08-22 18:35:44,281851,4.7665690000000005,-74.1507,0,0,Excesos de velocidad,23173,43826,22.0,2020-08-14 17:54:21.853,2020-09-07 11:01:54.907,67960.0,105199.0,2.0,1481,50386.0,"Calle 11 10-21, 250251 Zipaquirá, Colombia",120742.0,1097645.0,1097645.0,1997.0,2020-09-07 10:48:33.0,613505150,OPPERAR COLOMBIA S.A.S.,ET,1641,1.0,MOSQUERA,-74.22826847270001,4.71430462524,25473,Finalizado,Urbano,URBANO_SEC,IMBOCAR S.A.S,8
54658,62469755,2020-09-02 05:50:26,281851,4.979293,-73.88833000000001,0,0,Excesos de velocidad,23173,43826,22.0,2020-08-14 17:54:21.853,2020-09-07 11:01:54.907,67960.0,105199.0,2.0,1481,50386.0,"Calle 11 10-21, 250251 Zipaquirá, Colombia",120742.0,1097645.0,1097645.0,1997.0,2020-09-07 10:48:33.0,613505150,OPPERAR COLOMBIA S.A.S.,ET,1641,1.0,MOSQUERA,-74.22826847270001,4.71430462524,25473,Finalizado,Urbano,URBANO_SEC,IMBOCAR S.A.S,8
57360,59170618,2020-08-13 09:31:33,280145,4.70001,-74.19634,0,0,Excesos de velocidad,17994,47618,22.0,2020-08-12 14:36:18.810,2020-08-16 05:45:28.79,67535.0,109743.0,9.0,1413,59796.0,"50, 253057 Facatativá, Colombia",6524.0,43927.0,43927.0,107.0,2020-08-16 05:44:48.0,CEB0361210,COLOMBIANA DE COMERCIO S.A.,ET,1274,24854.0,"BOGOTÁ, D.C.",-74.1139187163,4.62457504964,11001,Finalizado,Otros,TIENDAS,LAYTON COY VALENTIN,8
58029,59165442,2020-08-13 09:15:18,279816,4.6067,-74.0865,0,0,Excesos de velocidad,16250,47618,22.0,2020-08-12 06:05:10.983,2020-08-16 06:38:13.69,66910.0,109198.0,9.0,1413,70165.0,"Carrera 41 2A-24, 111631 Bogotá, D.C., Colombia",18435.0,89639.0,89639.0,290.0,2020-08-16 06:21:08.0,CEB0361130,COLOMBIANA DE COMERCIO S.A.,ET,1274,24854.0,"BOGOTÁ, D.C.",-74.1139187163,4.62457504964,11001,Finalizado,Otros,TIENDAS,OSCAR RAUL MAHECHA ARDILA,8
58030,59160761,2020-08-13 08:59:23,279816,4.59892,-74.12523,0,0,Excesos de velocidad,16250,47618,22.0,2020-08-12 06:05:10.983,2020-08-16 06:38:13.69,66910.0,109198.0,9.0,1413,70165.0,"Carrera 41 2A-24, 111631 Bogotá, D.C., Colombia",18435.0,89639.0,89639.0,290.0,2020-08-16 06:21:08.0,CEB0361130,COLOMBIANA DE COMERCIO S.A.,ET,1274,24854.0,"BOGOTÁ, D.C.",-74.1139187163,4.62457504964,11001,Finalizado,Otros,TIENDAS,OSCAR RAUL MAHECHA ARDILA,8
58031,59163753,2020-08-13 09:09:56,279816,4.6116,-74.09121999999999,0,0,Excesos de velocidad,16250,47618,22.0,2020-08-12 06:05:10.983,2020-08-16 06:38:13.69,66910.0,109198.0,9.0,1413,70165.0,"Carrera 41 2A-24, 111631 Bogotá, D.C., Colombia",18435.0,89639.0,89639.0,290.0,2020-08-16 06:21:08.0,CEB0361130,COLOMBIANA DE COMERCIO S.A.,ET,1274,24854.0,"BOGOTÁ, D.C.",-74.1139187163,4.62457504964,11001,Finalizado,Otros,TIENDAS,OSCAR RAUL MAHECHA ARDILA,8
58032,59169308,2020-08-13 09:27:20,279816,4.59927,-74.10613000000001,0,0,Excesos de velocidad,16250,47618,22.0,2020-08-12 06:05:10.983,2020-08-16 06:38:13.69,66910.0,109198.0,9.0,1413,70165.0,"Carrera 41 2A-24, 111631 Bogotá, D.C., Colombia",18435.0,89639.0,89639.0,290.0,2020-08-16 06:21:08.0,CEB0361130,COLOMBIANA DE COMERCIO S.A.,ET,1274,24854.0,"BOGOTÁ, D.C.",-74.1139187163,4.62457504964,11001,Finalizado,Otros,TIENDAS,OSCAR RAUL MAHECHA ARDILA,8
58033,59162583,2020-08-13 09:05:38,279816,4.60945,-74.10226999999999,0,0,Excesos de velocidad,16250,47618,22.0,2020-08-12 06:05:10.983,2020-08-16 06:38:13.69,66910.0,109198.0,9.0,1413,70165.0,"Carrera 41 2A-24, 111631 Bogotá, D.C., Colombia",18435.0,89639.0,89639.0,290.0,2020-08-16 06:21:08.0,CEB0361130,COLOMBIANA DE COMERCIO S.A.,ET,1274,24854.0,"BOGOTÁ, D.C.",-74.1139187163,4.62457504964,11001,Finalizado,Otros,TIENDAS,OSCAR RAUL MAHECHA ARDILA,8
58034,59167482,2020-08-13 09:21:32,279816,4.605230000000001,-74.09598000000001,0,0,Excesos de velocidad,16250,47618,22.0,2020-08-12 06:05:10.983,2020-08-16 06:38:13.69,66910.0,109198.0,9.0,1413,70165.0,"Carrera 41 2A-24, 111631 Bogotá, D.C., Colombia",18435.0,89639.0,89639.0,290.0,2020-08-16 06:21:08.0,CEB0361130,COLOMBIANA DE COMERCIO S.A.,ET,1274,24854.0,"BOGOTÁ, D.C.",-74.1139187163,4.62457504964,11001,Finalizado,Otros,TIENDAS,OSCAR RAUL MAHECHA ARDILA,8
58035,59158956,2020-08-13 08:53:30,279816,4.59922,-74.11245,0,0,Excesos de velocidad,16250,47618,22.0,2020-08-12 06:05:10.983,2020-08-16 06:38:13.69,66910.0,109198.0,9.0,1413,70165.0,"Carrera 41 2A-24, 111631 Bogotá, D.C., Colombia",18435.0,89639.0,89639.0,290.0,2020-08-16 06:21:08.0,CEB0361130,COLOMBIANA DE COMERCIO S.A.,ET,1274,24854.0,"BOGOTÁ, D.C.",-74.1139187163,4.62457504964,11001,Finalizado,Otros,TIENDAS,OSCAR RAUL MAHECHA ARDILA,8
58204,59157634,2020-08-13 08:47:42,279811,4.71338,-74.05894,0,0,Excesos de velocidad,17368,47618,22.0,2020-08-12 06:04:03.143,2020-08-15 22:30:58.05,65583.0,99146.0,9.0,1413,59433.0,"Carrera 139 142C-2, 111151 Bogotá, D.C., Colombia",28467.0,142961.0,97321.0,343.0,2020-08-15 21:25:59.0,CEB0361127,COLOMBIANA DE COMERCIO S.A.,ET,1274,24854.0,"BOGOTÁ, D.C.",-74.1139187163,4.62457504964,11001,Finalizado,Otros,TIENDAS,Geminiano Parra Segura,8
58205,59160001,2020-08-13 08:57:22,279811,4.711040000000001,-74.05889,0,0,Excesos de velocidad,17368,47618,22.0,2020-08-12 06:04:03.143,2020-08-15 22:30:58.05,65583.0,99146.0,9.0,1413,59433.0,"Carrera 139 142C-2, 111151 Bogotá, D.C., Colombia",28467.0,142961.0,97321.0,343.0,2020-08-15 21:25:59.0,CEB0361127,COLOMBIANA DE COMERCIO S.A.,ET,1274,24854.0,"BOGOTÁ, D.C.",-74.1139187163,4.62457504964,11001,Finalizado,Otros,TIENDAS,Geminiano Parra Segura,8
58206,59167463,2020-08-13 09:21:29,279811,4.7144,-74.05705,0,0,Excesos de velocidad,17368,47618,22.0,2020-08-12 06:04:03.143,2020-08-15 22:30:58.05,65583.0,99146.0,9.0,1413,59433.0,"Carrera 139 142C-2, 111151 Bogotá, D.C., Colombia",28467.0,142961.0,97321.0,343.0,2020-08-15 21:25:59.0,CEB0361127,COLOMBIANA DE COMERCIO S.A.,ET,1274,24854.0,"BOGOTÁ, D.C.",-74.1139187163,4.62457504964,11001,Finalizado,Otros,TIENDAS,Geminiano Parra Segura,8
58207,59172663,2020-08-13 09:39:31,279811,4.72375,-74.05258,0,0,Excesos de velocidad,17368,47618,22.0,2020-08-12 06:04:03.143,2020-08-15 22:30:58.05,65583.0,99146.0,9.0,1413,59433.0,"Carrera 139 142C-2, 111151 Bogotá, D.C., Colombia",28467.0,142961.0,97321.0,343.0,2020-08-15 21:25:59.0,CEB0361127,COLOMBIANA DE COMERCIO S.A.,ET,1274,24854.0,"BOGOTÁ, D.C.",-74.1139187163,4.62457504964,11001,Finalizado,Otros,TIENDAS,Geminiano Parra Segura,8
